urn,authority_name,canonical_id,mads_file,alt_ids,related_works,urn_status,redirect_to,created_by,edited_by
urn:cite:perseus:author.1391.1,Theophanes Byzantinus fl.6. Jh,,PrimaryAuthors/T/Theophanes of Byzantium/TheophanesByzantium.mads.xml,,tlg4040.tlg001,published,,feed_aggregator,
urn:cite:perseus:author.1392.1,Theophanes the Confessor d. ca. 818,tlg4046,PrimaryAuthors/T/Theophanes/n82-37655.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1393.1,Theophilus Comicus 4./3. Jh. v. Chr,tlg0512,PrimaryAuthors/T/Theophilus Comicus/TheophilusComicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1394.1,Theophrastus,tlg0093,PrimaryAuthors/T/Theophrastus/n79-108364.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1395.1,Theopompus Comicus 5./4. Jh. v. Chr,tlg0513,PrimaryAuthors/T/Theopompus Comicus/TheopompusComicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1396.1,Theopompus of Chios,tlg0566,PrimaryAuthors/T/Theopompus of Chios/nr90005938.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1397.1,Theosebeia Epigrammatica 5. Jh. n. Chr,tlg4047,PrimaryAuthors/T/Theosebeia/viaf34844217.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1398.1,Thespis Tragicus 534 v. Chr,tlg0301,PrimaryAuthors/T/Thespis Tragicus/ThespisTragicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1399.1,Thomas Patricius ca. 6. Jh,tlg4049,PrimaryAuthors/T/Thomas Patricius/viaf7791069.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1400.1,Thomas Scholasticus ca. 6. Jh,tlg4048,PrimaryAuthors/T/Thomas Scholasticus/viaf2857356.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1401.1,Thomas of Celano fl. 1257,stoa0280a,PrimaryAuthors/T/Thomas of Celano/n50-11081.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1402.1,Thomas of Monmouth,stoa0280b,PrimaryAuthors/T/Thomas of Monmouth/no2012158677.madsxml.xml,,stoa280b.stoa001,published,,feed_aggregator,
urn:cite:perseus:author.1403.1,Thucydides,tlg0003,PrimaryAuthors/T/Thucydides/n79-21175.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1404.1,Thugenides Comicus 5. Jh. v. Chr,tlg0514,PrimaryAuthors/T/Thugenides/Thugenides.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1405.1,Thyillus Epigrammaticus 1. Jh. v. Chr,tlg1730,PrimaryAuthors/T/Thyillus Epigrammaticus/Thyillus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1406.1,Thymocles Epigrammaticus ca. 3. Jh. v. Chr,tlg1731,PrimaryAuthors/T/Thymocles/Thymocles.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1407.1,Tiberianus fl.4.Jh,stoa0280c,PrimaryAuthors/T/Tiberianus/13106750.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1408.1,Tiberius Illustrius 4./5. Jh. n. Chr,tlg2126,PrimaryAuthors/T/Tiberius Illustrius/TiberiusIllustrius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1409.1,Tibullus,stoa0281,PrimaryAuthors/T/Tibullus/n78-87625.xml.mads.xml,phi0660,,published,,feed_aggregator,
urn:cite:perseus:author.1410.1,Ticidas,phi0661,PrimaryAuthors/T/Ticidas/nr95-22298.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1411.1,Timaeus of Tauromenium ca. 356-260 B.C,tlg1733,PrimaryAuthors/T/Timaeus of Tauromenium/n84058439.madsxml.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1412.1,Timocles Comicus 4. Jh. v. Chr,tlg0515,PrimaryAuthors/T/Timocles Comicus/TimoclesComicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1413.1,Timocreon Ialysius 5. Jh. v. Chr,tlg0265,PrimaryAuthors/T/Timocreon/Timocreon.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1414.1,Timon of Phlius ca. 320-ca. 230 B.C,tlg1735,PrimaryAuthors/T/Timon/n91-32219.xml.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1415.1,Timonides Leucadius 4. Jh. v. Chr,tlg2386,PrimaryAuthors/T/Timonides Historicus/viaf49614342.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1416.1,Timostratus Comicus 2. Jh. v. Chr,tlg0516,PrimaryAuthors/T/Timostratus Comicus/TimostratusComicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1417.1,Timotheus Comicus 4./3. Jh. v. Chr,tlg0517,PrimaryAuthors/T/Timotheus Comicus/TimotheusComicus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1418.1,Timotheus of Miletus,tlg0376,PrimaryAuthors/T/Timotheus/n84-179678.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1419.1,Timoxenus Comicus,tlg1793,PrimaryAuthors/T/Timoxenus Comicus/timoxenus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1420.1,"Tiro, M. Tullius (Marcus Tullius) ca. 104-4 B.C",phi0662,"PrimaryAuthors/T/Tiro, Marcus Tullius/nr95-27995.xml.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.1421.1,Titinius,phi0137,PrimaryAuthors/T/Titinius/n85-297966.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1422.1,Trabea 2nd cent. B.C,phi0143,PrimaryAuthors/T/Trabea/nr95-31188.mads.xml,,stoa0282.stoa001,published,,feed_aggregator,
urn:cite:perseus:author.1423.1,Trajan Emperor of Rome 53-117,stoa0283,PrimaryAuthors/T/Trajan/n79055990.madsxml.xml,"phi1357,tlg1739",stoa1739.stoa001,published,,feed_aggregator,
urn:cite:perseus:author.1424.1,Trebellius Pollio fl.3./4. Jh,,PrimaryAuthors/T/Trebellius Pollio/TrebelliusPollio.mads.xml,,"phi2331.phi022,phi2331.phi023,phi2331.phi024,phi2331.phi025",published,,feed_aggregator,
urn:cite:perseus:author.1425.1,Trichas 12. Jh,tlg2656,PrimaryAuthors/T/Trichas/Trichas.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1426.1,"Trogus, Pompeius",phi0984,"PrimaryAuthors/T/Trogus, Pompeius/n82-43686.mads.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.1427.1,Troilus Epigrammaticus 4./5. Jh. n. Chr,tlg2127,PrimaryAuthors/T/Troilus Grammaticus/viaf34844240.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1428.1,Tryphiodorus,tlg0647,PrimaryAuthors/T/Tryphiodorus/n80-128532.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1429.1,Tryphon 1st cent. B.C,tlg0609,"PrimaryAuthors/T/Tryphon, 1st cent. B.C./no2008022234.madsxml.xml",,,published,,feed_aggregator,
urn:cite:perseus:author.1430.1,Tryphon Epigrammaticus 1. Jh. v. Chr./1. Jh. n. Chr,tlg1740,PrimaryAuthors/T/Tryphon Epigrammaticus/viaf59476418.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1431.1,Tuccianus Poeta 5. bzw. 5./6. Jh. n. Chr,stoa0283a,PrimaryAuthors/T/Tuccianus/tuccianus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1432.1,Tudicius Gallus Person der Antike,tlg1741,PrimaryAuthors/T/Tudicius Gallus/TudiciusGallus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1433.1,Tullius Geminus 1. Jh. n. Chr,tlg1742,PrimaryAuthors/T/Tullius Geminus/TulliusGeminus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1434.1,Tullius Marcus,stoa0283c,PrimaryAuthors/T/Tullius Marcus (uncertain)/TulliusMarcus.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1435.1,Tullius Sabinus 1. Jh. n. Chr,tlg1745,PrimaryAuthors/T/Tullius Sabinus/viaf27455952.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1436.1,Tullius,stoa0283b,PrimaryAuthors/T/Tullius (uncertain)/tullius.mads.xml,,,published,,feed_aggregator,
urn:cite:perseus:author.1437.1,Turdulus Gallicanus,stoa0283d,PrimaryAuthors/T/Turdulus Gallicanus/TurdulusGallicanus.mads.xml,,,published,,feed_aggregator,
